"dyad";"id";"obsno";"sent";"start";"end";"PA1_time";"PA2_time";"PA3_time";"NA1_time";"NA2_time";"NA3_time";"contact_time";"location_time"
1;1;1;2018-10-17 10:00:11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1;2;2018-10-17 11:00:22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1;3;2018-10-17 12:00:08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1;4;2018-10-17 12:59:52;2018-10-17 13:00:12;2018-10-17 13:03:01;2018-10-17 13:00:37;2018-10-17 13:01:03;2018-10-17 13:01:25;2018-10-17 13:01:53;2018-10-17 13:02:07;2018-10-17 13:02:36;2018-10-17 13:02:55;2018-10-17 13:03:01
1;1;5;2018-10-17 14:00:15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1;6;2018-10-18 10:00:08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1;7;2018-10-18 10:59:53;2018-10-18 11:00:02;2018-10-18 11:01:57;2018-10-18 11:00:22;2018-10-18 11:00:37;2018-10-18 11:00:48;2018-10-18 11:00:57;2018-10-18 11:01:19;2018-10-18 11:01:31;2018-10-18 11:01:54;2018-10-18 11:01:57
1;1;8;2018-10-18 12:00:27;2018-10-18 12:00:41;2018-10-18 12:02:22;2018-10-18 12:00:54;2018-10-18 12:01:09;2018-10-18 12:01:22;2018-10-18 12:01:39;2018-10-18 12:01:55;2018-10-18 12:02:12;2018-10-18 12:02:19;2018-10-18 12:02:22
1;1;9;2018-10-18 13:00:13;2018-10-18 13:00:30;2018-10-18 13:03:40;2018-10-18 13:01:02;2018-10-18 13:01:24;2018-10-18 13:01:45;2018-10-18 13:02:21;2018-10-18 13:02:47;2018-10-18 13:03:07;2018-10-18 13:03:36;2018-10-18 13:03:40
1;1;10;2018-10-18 14:00:29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1;11;2018-10-19 10:00:00;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1;12;2018-10-19 11:00:17;2018-10-19 11:00:38;2018-10-19 11:01:30;2018-10-19 11:00:52;2018-10-19 11:00:53;2018-10-19 11:00:55;2018-10-19 11:01:03;2018-10-19 11:01:19;2018-10-19 11:01:21;2018-10-19 11:01:34;2018-10-19 11:01:30
1;1;13;2018-10-19 12:00:15;2018-10-19 12:00:54;2018-10-19 12:00:58;2018-10-19 12:00:54;2018-10-19 12:00:54;2018-10-19 12:00:55;2018-10-19 12:00:59;2018-10-19 12:01:01;2018-10-19 12:01:02;2018-10-19 12:01:05;2018-10-19 12:00:58
1;1;14;2018-10-19 13:00:11;2018-10-19 13:00:27;2018-10-19 13:02:12;2018-10-19 13:00:52;2018-10-19 13:00:58;2018-10-19 13:01:18;2018-10-19 13:01:29;2018-10-19 13:01:44;2018-10-19 13:01:56;2018-10-19 13:02:12;2018-10-19 13:02:12
1;1;15;2018-10-19 14:00:29;2018-10-19 14:00:49;2018-10-19 14:02:44;2018-10-19 14:01:04;2018-10-19 14:01:21;2018-10-19 14:01:35;2018-10-19 14:01:54;2018-10-19 14:02:10;2018-10-19 14:02:29;2018-10-19 14:02:37;2018-10-19 14:02:44
1;1;16;2018-10-20 10:00:11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1;17;2018-10-20 11:00:18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1;18;2018-10-20 12:00:19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1;19;2018-10-20 13:00:14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1;20;2018-10-20 14:00:17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1;21;2018-10-21 10:00:17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1;22;2018-10-21 10:59:58;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1;23;2018-10-21 12:00:10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1;24;2018-10-21 13:00:15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1;25;2018-10-21 14:00:20;2018-10-21 14:00:43;2018-10-21 14:01:05;2018-10-21 14:00:43;2018-10-21 14:00:46;2018-10-21 14:00:48;2018-10-21 14:00:52;2018-10-21 14:01:02;2018-10-21 14:01:10;2018-10-21 14:01:10;2018-10-21 14:01:05
1;1;26;2018-10-22 10:00:25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1;27;2018-10-22 11:00:05;2018-10-22 11:00:16;2018-10-22 11:00:56;2018-10-22 11:00:20;2018-10-22 11:00:31;2018-10-22 11:00:34;2018-10-22 11:00:35;2018-10-22 11:00:46;2018-10-22 11:00:48;2018-10-22 11:01:06;2018-10-22 11:00:56
1;1;28;2018-10-22 11:59:57;2018-10-22 12:00:23;2018-10-22 12:02:12;2018-10-22 12:00:39;2018-10-22 12:01:02;2018-10-22 12:01:15;2018-10-22 12:01:26;2018-10-22 12:01:32;2018-10-22 12:01:55;2018-10-22 12:02:02;2018-10-22 12:02:12
1;1;29;2018-10-22 13:00:16;2018-10-22 13:00:33;2018-10-22 13:02:11;2018-10-22 13:00:52;2018-10-22 13:01:02;2018-10-22 13:01:10;2018-10-22 13:01:39;2018-10-22 13:01:43;2018-10-22 13:01:53;2018-10-22 13:02:11;2018-10-22 13:02:11
1;1;30;2018-10-22 13:59:57;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1;31;2018-10-23 10:00:17;2018-10-23 10:00:29;2018-10-23 10:01:20;2018-10-23 10:00:31;2018-10-23 10:00:45;2018-10-23 10:00:47;2018-10-23 10:00:58;2018-10-23 10:01:05;2018-10-23 10:01:07;2018-10-23 10:01:22;2018-10-23 10:01:20
1;1;32;2018-10-23 11:00:11;2018-10-23 11:00:20;2018-10-23 11:01:46;2018-10-23 11:00:32;2018-10-23 11:00:44;2018-10-23 11:00:54;2018-10-23 11:01:05;2018-10-23 11:01:18;2018-10-23 11:01:32;2018-10-23 11:01:51;2018-10-23 11:01:46
1;1;33;2018-10-23 12:00:02;2018-10-23 12:00:07;2018-10-23 12:02:24;2018-10-23 12:00:21;2018-10-23 12:00:43;2018-10-23 12:01:08;2018-10-23 12:01:22;2018-10-23 12:01:43;2018-10-23 12:02:02;2018-10-23 12:02:31;2018-10-23 12:02:24
1;1;34;2018-10-23 13:00:06;2018-10-23 13:00:17;2018-10-23 13:01:20;2018-10-23 13:00:25;2018-10-23 13:00:35;2018-10-23 13:00:35;2018-10-23 13:00:51;2018-10-23 13:00:55;2018-10-23 13:01:05;2018-10-23 13:01:18;2018-10-23 13:01:20
1;1;35;2018-10-23 13:59:37;2018-10-23 13:59:48;2018-10-23 14:01:54;2018-10-23 14:00:09;2018-10-23 14:00:25;2018-10-23 14:00:42;2018-10-23 14:01:00;2018-10-23 14:01:12;2018-10-23 14:01:38;2018-10-23 14:01:52;2018-10-23 14:01:54
1;1;36;2018-10-24 09:59:55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1;37;2018-10-24 11:00:11;2018-10-24 11:00:21;2018-10-24 11:00:43;2018-10-24 11:00:32;2018-10-24 11:00:33;2018-10-24 11:00:36;2018-10-24 11:00:40;2018-10-24 11:00:41;2018-10-24 11:00:41;2018-10-24 11:00:42;2018-10-24 11:00:43
1;1;38;2018-10-24 11:59:58;2018-10-24 12:00:15;2018-10-24 12:01:54;2018-10-24 12:00:23;2018-10-24 12:00:37;2018-10-24 12:01:02;2018-10-24 12:01:06;2018-10-24 12:01:35;2018-10-24 12:01:37;2018-10-24 12:01:50;2018-10-24 12:01:54
1;1;39;2018-10-24 12:59:49;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1;40;2018-10-24 14:00:10;2018-10-24 14:00:25;2018-10-24 14:02:01;2018-10-24 14:00:35;2018-10-24 14:00:46;2018-10-24 14:01:01;2018-10-24 14:01:19;2018-10-24 14:01:32;2018-10-24 14:01:40;2018-10-24 14:01:57;2018-10-24 14:02:01
1;1;41;2018-10-25 10:00:10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1;42;2018-10-25 11:00:14;2018-10-25 11:00:24;2018-10-25 11:01:09;2018-10-25 11:00:37;2018-10-25 11:00:43;2018-10-25 11:00:44;2018-10-25 11:00:47;2018-10-25 11:01:00;2018-10-25 11:01:04;2018-10-25 11:01:10;2018-10-25 11:01:09
1;1;43;2018-10-25 12:00:32;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1;44;2018-10-25 13:00:10;2018-10-25 13:00:22;2018-10-25 13:02:17;2018-10-25 13:00:38;2018-10-25 13:00:57;2018-10-25 13:01:15;2018-10-25 13:01:37;2018-10-25 13:01:48;2018-10-25 13:02:03;2018-10-25 13:02:11;2018-10-25 13:02:17
1;1;45;2018-10-25 13:59:55;2018-10-25 14:00:28;2018-10-25 14:02:16;2018-10-25 14:00:40;2018-10-25 14:00:58;2018-10-25 14:01:07;2018-10-25 14:01:28;2018-10-25 14:01:50;2018-10-25 14:01:56;2018-10-25 14:02:27;2018-10-25 14:02:16
1;1;46;2018-10-26 10:00:13;2018-10-26 10:00:30;2018-10-26 10:01:39;2018-10-26 10:00:41;2018-10-26 10:00:59;2018-10-26 10:01:02;2018-10-26 10:01:03;2018-10-26 10:01:25;2018-10-26 10:01:34;2018-10-26 10:01:36;2018-10-26 10:01:39
1;1;47;2018-10-26 11:00:15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1;48;2018-10-26 12:00:20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1;49;2018-10-26 13:00:24;2018-10-26 13:00:26;2018-10-26 13:01:56;2018-10-26 13:00:28;2018-10-26 13:00:48;2018-10-26 13:00:56;2018-10-26 13:01:13;2018-10-26 13:01:34;2018-10-26 13:01:46;2018-10-26 13:01:57;2018-10-26 13:01:56
1;1;50;2018-10-26 13:59:45;2018-10-26 13:59:50;2018-10-26 14:01:50;2018-10-26 14:00:12;2018-10-26 14:00:22;2018-10-26 14:00:38;2018-10-26 14:01:01;2018-10-26 14:01:16;2018-10-26 14:01:36;2018-10-26 14:01:53;2018-10-26 14:01:50
1;1;51;2018-10-27 10:00:05;2018-10-27 10:00:19;2018-10-27 10:02:42;2018-10-27 10:00:40;2018-10-27 10:00:58;2018-10-27 10:01:17;2018-10-27 10:01:33;2018-10-27 10:01:58;2018-10-27 10:02:26;2018-10-27 10:02:43;2018-10-27 10:02:42
1;1;52;2018-10-27 10:59:42;2018-10-27 11:00:06;2018-10-27 11:03:13;2018-10-27 11:00:36;2018-10-27 11:01:03;2018-10-27 11:01:25;2018-10-27 11:01:52;2018-10-27 11:02:13;2018-10-27 11:02:46;2018-10-27 11:03:08;2018-10-27 11:03:13
1;1;53;2018-10-27 12:00:17;2018-10-27 12:00:19;2018-10-27 12:02:48;2018-10-27 12:00:34;2018-10-27 12:01:03;2018-10-27 12:01:15;2018-10-27 12:01:41;2018-10-27 12:01:57;2018-10-27 12:02:23;2018-10-27 12:02:48;2018-10-27 12:02:48
1;1;54;2018-10-27 13:00:06;2018-10-27 13:00:39;2018-10-27 13:03:27;2018-10-27 13:01:06;2018-10-27 13:01:31;2018-10-27 13:01:51;2018-10-27 13:02:15;2018-10-27 13:02:37;2018-10-27 13:03:05;2018-10-27 13:03:25;2018-10-27 13:03:27
1;1;55;2018-10-27 14:00:15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1;56;2018-10-28 09:00:09;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1;57;2018-10-28 10:00:17;2018-10-28 10:00:40;2018-10-28 10:02:28;2018-10-28 10:00:53;2018-10-28 10:01:13;2018-10-28 10:01:30;2018-10-28 10:01:47;2018-10-28 10:02:01;2018-10-28 10:02:07;2018-10-28 10:02:28;2018-10-28 10:02:28
1;1;58;2018-10-28 11:00:02;2018-10-28 11:00:18;2018-10-28 11:02:22;2018-10-28 11:00:42;2018-10-28 11:00:52;2018-10-28 11:01:19;2018-10-28 11:01:38;2018-10-28 11:01:46;2018-10-28 11:01:58;2018-10-28 11:02:17;2018-10-28 11:02:22
1;1;59;2018-10-28 12:00:09;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1;60;2018-10-28 13:00:25;2018-10-28 13:00:39;2018-10-28 13:02:39;2018-10-28 13:00:53;2018-10-28 13:01:16;2018-10-28 13:01:27;2018-10-28 13:01:39;2018-10-28 13:02:00;2018-10-28 13:02:22;2018-10-28 13:02:45;2018-10-28 13:02:39
1;1;61;2018-10-29 09:59:50;2018-10-29 09:59:53;2018-10-29 10:02:03;2018-10-29 10:00:09;2018-10-29 10:00:29;2018-10-29 10:00:44;2018-10-29 10:01:10;2018-10-29 10:01:28;2018-10-29 10:01:46;2018-10-29 10:01:55;2018-10-29 10:02:03
